ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
636812F7EDA843A3,electric_bike,2022-10-21 07:19:55,2022-10-21 07:32:47,Fairfax Dr & N Taylor St,31049,,,38.8823895,-77.11283,38.88,-77.11,member
2963CAC314D0C593,electric_bike,2022-10-21 16:52:10,2022-10-21 17:07:43,Eads St & 12th St S,31071,,,38.8630035,-77.0546291666667,38.86,-77.05,member
81383A5B7B0DDF3D,electric_bike,2022-10-17 09:23:40,2022-10-17 09:41:44,Van Ness Metro / UDC,31300,,,38.9445218333333,-77.0638486666667,38.91,-77.08,member
88E008078B2E7FFC,electric_bike,2022-10-19 20:16:01,2022-10-19 20:22:35,14th & Rhode Island Ave NW,31203,New Hampshire Ave & 24th St NW,31275,38.9086748333333,-77.0325046666667,38.901755,-77.051084,member
53D58D1427BF475B,classic_bike,2022-10-25 21:10:30,2022-10-25 21:18:51,Potomac & M St NW,31295,New Hampshire Ave & Ward Pl NW,31212,38.905509,-77.065246,38.9057107919073,-77.0473176240921,member
69247684F27CAB16,classic_bike,2022-10-20 18:07:02,2022-10-20 18:11:37,14th & Rhode Island Ave NW,31203,Rhode Island & Connecticut Ave NW,31239,38.9086,-77.0323,38.9059956999911,-77.0398020744324,member
021E310139F2FFE4,classic_bike,2022-10-29 00:36:00,2022-10-29 01:04:57,14th & Rhode Island Ave NW,31203,3rd & M St SE,31669,38.9086,-77.0323,38.876823,-77.002161,member
04A3B5CBCF7DD67A,classic_bike,2022-10-11 18:07:31,2022-10-11 18:12:13,14th & Rhode Island Ave NW,31203,Rhode Island & Connecticut Ave NW,31239,38.9086,-77.0323,38.9059956999911,-77.0398020744324,member
7EA5E34AC89923BA,classic_bike,2022-10-27 17:46:39,2022-10-27 17:56:09,11th & F St NW,31262,5th & K St NW,31600,38.897857,-77.026975,38.90304,-77.019027,member
B4F6ADFBA4AF66DF,classic_bike,2022-10-23 16:59:59,2022-10-23 17:03:20,Mount Vernon Ave & E Del Ray Ave,31086,Mount Vernon Ave & Kennedy St,31088,38.82595,-77.058541,38.833077,-77.059821,member
DD4DAB9958EFCCA3,classic_bike,2022-10-24 10:09:49,2022-10-24 10:10:49,11th & F St NW,31262,10th & G St NW,31274,38.897857,-77.026975,38.8982432877485,-77.0262354612351,member
C43B27D70CA580FA,electric_bike,2022-10-04 12:39:50,2022-10-04 12:54:23,21st & I St NW,31205,,,38.9007151666667,-77.046166,38.9,-77.01,member
BE9B06F1143D7349,classic_bike,2022-10-25 23:21:36,2022-10-25 23:36:58,New Jersey Ave & K St NW,31642,14th & Belmont St NW,31119,38.9025710917229,-77.0136666297913,38.921074,-77.031887,member
1C50A5BF35F32840,electric_bike,2022-10-23 10:16:25,2022-10-23 10:35:30,10th St & Florida Ave NW,31120,,,38.9204245,-77.025639,38.91,-77.06,member
D2379CAB660C2B52,electric_bike,2022-10-10 12:18:43,2022-10-10 14:41:17,10th St & Florida Ave NW,31120,,,38.9204198333333,-77.025638,38.92,-77.03,member
8AAD21922B40E177,classic_bike,2022-10-21 12:18:58,2022-10-21 12:21:14,14th & Harvard St NW,31105,14th & Belmont St NW,31119,38.9268,-77.0322,38.921074,-77.031887,member
BB795C83A48A5BFC,electric_bike,2022-10-12 18:15:30,2022-10-12 18:35:19,2nd & V St SW / James Creek Marina,31667,,,38.863666,-77.0137455,38.91,-77,member
491CE2483B41DCD5,electric_bike,2022-10-07 13:15:38,2022-10-07 13:28:21,Oklahoma Ave & D St NE,31712,,,38.8943978333333,-76.9749068333333,38.91,-77,member
BBBFDA0533D1ABAC,electric_bike,2022-10-10 17:10:32,2022-10-10 17:10:48,11th & Clifton St NW,31136,,,38.92228,-77.0270466666667,38.92,-77.03,member
BE09A62F9AAE7E34,electric_bike,2022-10-28 18:10:35,2022-10-28 18:10:40,11th & Clifton St NW,31136,,,38.9221213333333,-77.0271023333333,38.92,-77.03,member
B1A1EC558A769403,electric_bike,2022-10-21 07:42:51,2022-10-21 07:43:10,11th & Clifton St NW,31136,,,38.9222766666667,-77.0271075,38.92,-77.03,member
42CAA5CA634AA2E1,electric_bike,2022-10-12 07:31:03,2022-10-12 07:31:26,11th & Clifton St NW,31136,,,38.9221166666667,-77.0271096666667,38.92,-77.03,member
DB961CBAFF290890,classic_bike,2022-10-11 15:12:01,2022-10-11 15:16:47,39th & Veazey St NW,31308,Wisconsin Ave & Newark St NW,31302,38.943837,-77.077078,38.934881,-77.072755,member
2150D83553D72992,electric_bike,2022-10-09 12:52:44,2022-10-09 12:58:45,5th & F St NW,31620,,,38.8973915,-77.0193955,38.9,-77,member
2750D01E8EAA43DA,electric_bike,2022-10-13 17:04:18,2022-10-13 17:14:52,Georgia & New Hampshire Ave NW,31400,,,38.9367965,-77.024118,38.92,-77.03,member
755C7E02F830F487,electric_bike,2022-10-08 17:29:15,2022-10-08 17:52:11,Georgia & New Hampshire Ave NW,31400,,,38.9366951666667,-77.0241571666667,38.93,-77,member
5AF300ADD5CCC25D,classic_bike,2022-10-16 13:11:23,2022-10-16 13:27:14,7th & Monroe St NE,31534,14th & Belmont St NW,31119,38.9322425815551,-76.9961330294609,38.921074,-77.031887,member
